Date,Suhu_Rata_rata,Kelembaban_Rata_rata,Curah_Hujan,Kecepatan_Angin_Rata_rata
2014-10-15,27.6,80,0,3
2014-10-16,28.2,80,0,3
2014-10-17,28.5,80,0,4
2014-10-18,27.7,80,0,4
2014-10-19,28.4,78,0,5
2014-10-20,28.3,78,1,5
2014-10-21,28.5,77,0,4
2014-10-22,28.1,78,0,3
2014-10-23,27.4,77,0,2
2014-10-24,27.7,76,0,3
2014-10-25,27.9,80,0,3
2014-10-26,27.9,77,0,2
2014-10-27,27.9,74,0,2
2014-10-28,27.5,73,0,2
2014-10-29,28,73,0,3
2014-10-30,27.9,73,0,3
2014-10-31,28.2,74,0,3
2014-11-01,27.8,73,0,3
2014-11-02,28.6,75,0,2
2014-11-03,29.1,73,0,3
2014-11-04,28.5,75,0,3
2014-11-05,28.9,72,0,3
2014-11-06,29.5,72,0,2
2014-11-07,29.3,73,0,2
2014-11-08,29,74,0,2
2014-11-09,29.2,74,0,2
2014-11-10,29.2,77,0,3
2014-11-11,29.1,75,8888,3
2014-11-12,29.2,76,0,3
2014-11-13,29.5,72,2,3
2014-11-14,28.5,73,0,2
2014-11-15,28.6,71,0,3
2014-11-16,28.7,76,0,3
2014-11-17,28.9,69,8888,3
2014-11-18,29.4,70,0,3
2014-11-19,29.4,75,6,4
2014-11-20,29.3,74,0,3
2014-11-21,29.1,74,0,3
2014-11-22,29.3,76,0,3
2014-11-23,29.6,77,0,4
2014-11-24,28.9,76,7,3
2014-11-25,29.2,79,4,3
2014-11-26,29.3,76,0,3
2014-11-27,27.8,84,29,2
2014-11-28,27.3,84,18,3
2014-11-29,28.4,80,0,3
2014-11-30,27.5,87,86,3
2014-12-01,26.3,91,18,3
2014-12-02,26.4,87,25,3
2014-12-03,25.6,92,31,2
2014-12-04,27.8,84,2,3
2014-12-05,27.8,81,0,4
2014-12-06,27.4,84,67,4
2014-12-07,28.1,84,2,5
2014-12-08,28.8,80,1,6
2014-12-09,28.9,80,8888,6
2014-12-10,28.8,72,0,4
